"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"17032",2015,6995,"Automatic",80208,"Petrol",160,44.8,1.6,24.3715961455498
"4911",2019,20900,"Automatic",11251,"Petrol",145,29.1,1.5,31.5594169983685
"16544",2013,5699,"Manual",37168,"Petrol",30,54.3,1.2,23.1922498568608
"15372",2018,16289,"Manual",8724,"Diesel",145,80.7,1.5,29.7815465611509
"7879",2016,14747,"Manual",22996,"Diesel",20,67.3,2,29.0965737494037
"10233",2018,12995,"Manual",14806,"Petrol",150,62.8,1,28.2449176188192
"8324",2017,18499,"Manual",13063,"Petrol",145,41.5,2,30.6779304713273
"2697",2019,14998,"Manual",8147,"Petrol",145,60.1,1,29.2118590566976
"7023",2019,15000,"Manual",2436,"Diesel",145,68.9,1.5,29.2127714459316
"11804",2018,11100,"Manual",17742,"Petrol",145,62.8,1,27.2132542295893
"1876",2017,10698,"Manual",32701,"Diesel",145,74.3,1.5,26.9764703206423
"11539",2019,19990,"Manual",3068,"Petrol",145,50.4,1,31.2353585605692
"8578",2018,8800,"Manual",21022,"Petrol",150,64.2,1.1,25.7515165743482
"1665",2016,8600,"Manual",28165,"Petrol",125,54.3,1.2,25.6104486211548
"8709",2018,10500,"Manual",6042,"Petrol",145,64.2,1.1,26.8572192270383
"13836",2012,4963,"Manual",45000,"Diesel",20,68.9,1.4,22.4232459912214
"11360",2017,8495,"Manual",15000,"Petrol",150,54.3,1.2,25.5353344388682
"16689",2018,10999,"Manual",24453,"Petrol",145,56.5,1,27.1544173746434
"10285",2013,6370,"Manual",50223,"Petrol",30,56.5,1,23.8268966318704
"12218",2018,18000,"Manual",5000,"Petrol",145,58.9,1,30.4833410381278
"8279",2018,10999,"Manual",21236,"Petrol",145,62.8,1,27.1544173746434
"2444",2016,10498,"Semi-Auto",25356,"Diesel",20,64.2,1.5,26.8560055262108
"3930",2013,6890,"Manual",20881,"Diesel",20,70.6,1.6,24.2828841090878
"1111",2018,10870,"Manual",19733,"Petrol",145,65.7,1,27.0786374456567
"9623",2019,19500,"Manual",27,"Diesel",145,65.7,2,31.0559486547105
"6210",2018,7940,"Manual",11566,"Petrol",145,57.7,1.2,25.1254889770479
"14798",2019,17499,"Manual",8140,"Petrol",150,60.1,1,30.2835805506033
"5173",2018,9991,"Manual",16636,"Petrol",145,65.7,1,26.5421865625029
"11644",2017,12500,"Automatic",45346,"Diesel",145,58.9,2,27.9876977693224
"6523",2017,7775,"Manual",7762,"Petrol",145,57.7,1.2,24.9992283553671
"5306",2015,11295,"Manual",9623,"Diesel",125,60.1,2,27.3256488842298
"4376",2019,17200,"Manual",6984,"Diesel",145,61.4,1.5,30.1621719768417
